x(m) | S(x)(m) | grad(%)
  1004.873 |   1390.751 |  21.714654
  1010.927 |   1392.067 |  21.769454
  1016.980 |   1393.387 |  21.841366
  1023.034 |   1394.711 |  21.930391
  1029.087 |   1396.042 |  22.036528
  1035.141 |   1397.380 |  22.159778
  1041.194 |   1398.725 |  22.300140
  1047.248 |   1400.080 |  22.457615
  1053.301 |   1401.445 |  22.632202
  1059.355 |   1402.820 |  22.823902
  1065.408 |   1404.208 |  23.032714
  1071.461 |   1405.609 |  23.258639
  1077.515 |   1407.024 |  23.501676
  1083.568 |   1408.455 |  23.761826
  1089.622 |   1409.902 |  24.039088
  1095.675 |   1411.366 |  24.333463
  1101.729 |   1412.848 |  24.644950
  1107.782 |   1414.350 |  24.973550
  1113.836 |   1415.872 |  25.319262
  1119.889 |   1417.415 |  25.680742
  1125.943 |   1418.981 |  26.031892
  1131.996 |   1420.567 |  26.362659
  1138.049 |   1422.172 |  26.673043
  1144.103 |   1423.796 |  26.963044
  1150.156 |   1425.436 |  27.232662
  1156.210 |   1427.092 |  27.481897
  1162.263 |   1428.763 |  27.710749
  1168.317 |   1430.447 |  27.919218
  1174.370 |   1432.143 |  28.107304
  1180.424 |   1433.849 |  28.275007
  1186.477 |   1435.565 |  28.422326
  1192.531 |   1437.290 |  28.549263
  1198.584 |   1439.021 |  28.655817
  1204.637 |   1440.759 |  28.741988
  1210.691 |   1442.501 |  28.807776
  1216.744 |   1444.246 |  28.853181
  1222.798 |   1445.994 |  28.878203
  1228.851 |   1447.742 |  28.882841
  1234.905 |   1449.490 |  28.867097
  1240.958 |   1451.236 |  28.830970
  1247.012 |   1452.980 |  28.774460
  1253.065 |   1454.720 |  28.697567
  1259.119 |   1456.454 |  28.600290
  1265.172 |   1458.182 |  28.482631
  1271.225 |   1459.902 |  28.344589
  1277.279 |   1461.613 |  28.186164
  1283.332 |   1463.314 |  28.007355
  1289.386 |   1465.004 |  27.808164
  1295.439 |   1466.680 |  27.588590
  1301.493 |   1468.343 |  27.348632
  1307.546 |   1469.991 |  27.088292
  1313.600 |   1471.622 |  26.807569
  1319.653 |   1473.236 |  26.506463
  1325.707 |   1474.831 |  26.184973
  1331.760 |   1476.406 |  25.843101
  1337.813 |   1477.960 |  25.480845
  1343.867 |   1479.491 |  25.098207
  1349.920 |   1480.998 |  24.695186
  1355.974 |   1482.480 |  24.271781
  1362.027 |   1483.936 |  23.827994
  1368.081 |   1485.364 |  23.363824
  1374.134 |   1486.764 |  22.883660
  1380.188 |   1488.135 |  22.409326
  1386.241 |   1489.477 |  21.943795
  1392.295 |   1490.792 |  21.487067
  1398.348 |   1492.079 |  21.039143
  1404.401 |   1493.339 |  20.600023
  1410.455 |   1494.573 |  20.169706
  1416.508 |   1495.781 |  19.748193
  1422.562 |   1496.964 |  19.335484
  1428.615 |   1498.122 |  18.931578
  1434.669 |   1499.257 |  18.536476
  1440.722 |   1500.367 |  18.150177
  1446.776 |   1501.454 |  17.772682
  1452.829 |   1502.519 |  17.403991
  1458.883 |   1503.561 |  17.044103
  1464.936 |   1504.582 |  16.693019
  1470.989 |   1505.583 |  16.350738
  1477.043 |   1506.562 |  16.017261
  1483.096 |   1507.522 |  15.692588
  1489.150 |   1508.462 |  15.376718
  1495.203 |   1509.384 |  15.069652
  1501.257 |   1510.287 |  14.771389
  1507.310 |   1511.172 |  14.481930
  1513.364 |   1512.040 |  14.201274
  1519.417 |   1512.892 |  13.929423
  1525.471 |   1513.727 |  13.666374
  1531.524 |   1514.547 |  13.412130
  1537.577 |   1515.351 |  13.166689
  1543.631 |   1516.141 |  12.930051
  1549.684 |   1516.917 |  12.702217
  1555.738 |   1517.679 |  12.483187
  1561.791 |   1518.428 |  12.272961
  1567.845 |   1519.165 |  12.071538
  1573.898 |   1519.890 |  11.878918
  1579.952 |   1520.603 |  11.695102
  1586.005 |   1521.306 |  11.520090
  1592.059 |   1521.998 |  11.353881
  1598.112 |   1522.681 |  11.196476
  1604.165 |   1523.354 |  11.047875
  1610.219 |   1524.018 |  10.908084
  1616.272 |   1524.675 |  10.785958
  1622.326 |   1525.325 |  10.689438
  1628.379 |   1525.970 |  10.618523
  1634.433 |   1526.611 |  10.573215
  1640.486 |   1527.250 |  10.553512
  1646.540 |   1527.889 |  10.559415
  1652.593 |   1528.529 |  10.590923
  1658.647 |   1529.172 |  10.648038
  1664.700 |   1529.819 |  10.730758
  1670.753 |   1530.471 |  10.839084
  1676.807 |   1531.132 |  10.973016
  1682.860 |   1531.800 |  11.132554
  1688.914 |   1532.480 |  11.317697
  1694.967 |   1533.171 |  11.528446
  1701.021 |   1533.876 |  11.764801
  1707.074 |   1534.596 |  12.026762
  1713.128 |   1535.333 |  12.314328
  1719.181 |   1536.087 |  12.627500
  1725.235 |   1536.862 |  12.966278
  1731.288 |   1537.658 |  13.330662
  1737.341 |   1538.476 |  13.720652
  1743.395 |   1539.319 |  14.136247
  1749.448 |   1540.188 |  14.577448
  1755.502 |   1541.085 |  15.044255
  1761.555 |   1542.010 |  15.536668
  1767.609 |   1542.966 |  16.054686
  1773.662 |   1543.955 |  16.598310
  1779.716 |   1544.976 |  17.167540
  1785.769 |   1546.034 |  17.762376
  1791.823 |   1547.127 |  18.382817
  1797.876 |   1548.260 |  19.028865
  1803.929 |   1549.432 |  19.700518
  1809.983 |   1550.645 |  20.397777
  1816.036 |   1551.902 |  21.120641
  1822.090 |   1553.203 |  21.869722
  1828.143 |   1554.551 |  22.677573
  1834.197 |   1555.950 |  23.562699
  1840.250 |   1557.405 |  24.525101
  1846.304 |   1558.921 |  25.564779
  1852.357 |   1560.502 |  26.681732
  1858.411 |   1562.153 |  27.875960
  1864.464 |   1563.878 |  29.147464
  1870.517 |   1565.683 |  30.496243
  1876.571 |   1567.572 |  31.922298
  1882.624 |   1569.549 |  33.425628
  1888.678 |   1571.620 |  35.006233
  1894.731 |   1573.789 |  36.664114
  1900.785 |   1576.061 |  38.399271
  1906.838 |   1578.440 |  40.211702
  1912.892 |   1580.931 |  42.101410
  1918.945 |   1583.538 |  44.068392
  1924.999 |   1586.268 |  46.112651
  1931.052 |   1589.123 |  48.234184
  1937.105 |   1592.109 |  50.432993
  1943.159 |   1595.230 |  52.709078
  1949.212 |   1598.492 |  55.062437
  1955.266 |   1601.898 |  57.493073
  1961.319 |   1605.454 |  60.000984
  1967.373 |   1609.164 |  62.586170
  1973.426 |   1613.033 |  65.248632
  1979.480 |   1617.065 |  67.988369
  1985.533 |   1621.266 |  70.805381
  1991.587 |   1625.639 |  73.699669
  1997.640 |   1630.190 |  76.670921
  2003.693 |   1634.919 |  79.518695
  2009.747 |   1639.811 |  82.072070
  2015.800 |   1644.849 |  84.331047
  2021.854 |   1650.015 |  86.295625
  2027.907 |   1655.291 |  87.965803
  2033.961 |   1660.659 |  89.341583
  2040.014 |   1666.102 |  90.422964
  2046.068 |   1671.601 |  91.209946
  2052.121 |   1677.138 |  91.702530
  2058.174 |   1682.697 |  91.900714
  2064.228 |   1688.259 |  91.804499
  2070.281 |   1693.806 |  91.413886
  2076.335 |   1699.320 |  90.728873
  2082.388 |   1704.784 |  89.749462
  2088.442 |   1710.180 |  88.475652
  2094.495 |   1715.490 |  86.907443
  2100.549 |   1720.696 |  85.044835
  2106.602 |   1725.780 |  82.887828
  2112.656 |   1730.725 |  80.436423
  2118.709 |   1735.513 |  77.690618
  2124.762 |   1740.125 |  74.650415
  2130.816 |   1744.545 |  71.315812
  2136.869 |   1748.754 |  67.686811
  2142.923 |   1752.734 |  63.763411
  2148.976 |   1756.467 |  59.545612
  2155.030 |   1759.940 |  55.208331
  2161.083 |   1763.155 |  51.053901
  2167.137 |   1766.125 |  47.087650
  2173.190 |   1768.860 |  43.309575
  2179.244 |   1771.372 |  39.719678
  2185.297 |   1773.672 |  36.317959
  2191.350 |   1775.773 |  33.104417
  2197.404 |   1777.684 |  30.079052
  2203.457 |   1779.418 |  27.241865
  2209.511 |   1780.986 |  24.592856
  2215.564 |   1782.399 |  22.132024
  2221.618 |   1783.669 |  19.859370
  2227.671 |   1784.808 |  17.774893
  2233.725 |   1785.825 |  15.878593
  2239.778 |   1786.734 |  14.170471
  2245.832 |   1787.545 |  12.650527
  2251.885 |   1788.269 |  11.318760
  2257.938 |   1788.919 |  10.175170
  2263.992 |   1789.505 |   9.219758
  2270.045 |   1790.039 |   8.452523
  2276.099 |   1790.532 |   7.873466
  2282.152 |   1790.996 |   7.482587
  2288.206 |   1791.442 |   7.279885
  2294.259 |   1791.881 |   7.265360
  2300.313 |   1792.325 |   7.439013
  2306.366 |   1792.785 |   7.800844
  2312.420 |   1793.273 |   8.350852
  2318.473 |   1793.800 |   9.089037
  2324.526 |   1794.377 |   9.969683
  2330.580 |   1795.007 |  10.831422
  2336.633 |   1795.688 |  11.660156
  2342.687 |   1796.418 |  12.455886
  2348.740 |   1797.195 |  13.218610
  2354.794 |   1798.017 |  13.948330
  2360.847 |   1798.883 |  14.645045
  2366.901 |   1799.790 |  15.308755
  2372.954 |   1800.736 |  15.939460
  2379.008 |   1801.719 |  16.537160
  2385.061 |   1802.737 |  17.101855
  2391.114 |   1803.789 |  17.633545
  2397.168 |   1804.871 |  18.132231
  2403.221 |   1805.983 |  18.597911
  2409.275 |   1807.122 |  19.030587
  2415.328 |   1808.287 |  19.430258
  2421.382 |   1809.474 |  19.796924
  2427.435 |   1810.683 |  20.130585
  2433.489 |   1811.911 |  20.431241
  2439.542 |   1813.156 |  20.698892
  2445.596 |   1814.416 |  20.933539
  2451.649 |   1815.690 |  21.135180
  2457.702 |   1816.974 |  21.303817
  2463.756 |   1818.268 |  21.439449
  2469.809 |   1819.569 |  21.542075
  2475.863 |   1820.875 |  21.611697
  2481.916 |   1822.185 |  21.648314
  2487.970 |   1823.496 |  21.651927
  2494.023 |   1824.806 |  21.622534
  2500.077 |   1826.113 |  21.560136
  2506.130 |   1827.415 |  21.464734
  2512.184 |   1828.711 |  21.348972
  2518.237 |   1830.001 |  21.275468
  2524.290 |   1831.288 |  21.252722
  2530.344 |   1832.575 |  21.280735
  2536.397 |   1833.865 |  21.359506
  2542.451 |   1835.162 |  21.489036
  2548.504 |   1836.468 |  21.669325
  2554.558 |   1837.787 |  21.900372
  2560.611 |   1839.121 |  22.182178
  2566.665 |   1840.473 |  22.514743
  2572.718 |   1841.847 |  22.898066
  2578.772 |   1843.246 |  23.332147
  2584.825 |   1844.673 |  23.816987
  2590.878 |   1846.131 |  24.352586
  2596.932 |   1847.623 |  24.938944
  2602.985 |   1849.151 |  25.576060
  2609.039 |   1850.720 |  26.263934
  2615.092 |   1852.332 |  27.002568
  2621.146 |   1853.990 |  27.791959
  2627.199 |   1855.698 |  28.632110
  2633.253 |   1857.458 |  29.523019
  2639.306 |   1859.273 |  30.464686
  2645.360 |   1861.147 |  31.457113
  2651.413 |   1863.083 |  32.500297
  2657.466 |   1865.083 |  33.594241
  2663.520 |   1867.151 |  34.738943
  2669.573 |   1869.290 |  35.934403
  2675.627 |   1871.503 |  37.180622
  2681.680 |   1873.792 |  38.477600
  2687.734 |   1876.162 |  39.825336
  2693.787 |   1878.615 |  41.223831
  2699.841 |   1881.154 |  42.673085
  2705.894 |   1883.782 |  44.173097
  2711.948 |   1886.503 |  45.723868
  2718.001 |   1889.318 |  47.257422
  2724.054 |   1892.221 |  48.643268
  2730.108 |   1895.204 |  49.878173
  2736.161 |   1898.257 |  50.962138
  2742.215 |   1901.371 |  51.895161
  2748.268 |   1904.537 |  52.677245
  2754.322 |   1907.746 |  53.308387
  2760.375 |   1910.988 |  53.788589
  2766.429 |   1914.255 |  54.117850
  2772.482 |   1917.537 |  54.296171
  2778.536 |   1920.825 |  54.323551
  2784.589 |   1924.111 |  54.199990
  2790.642 |   1927.384 |  53.925489
  2796.696 |   1930.636 |  53.500047
  2802.749 |   1933.858 |  52.923665
  2808.803 |   1937.041 |  52.196341
  2814.856 |   1940.175 |  51.318078
  2820.910 |   1943.251 |  50.288873
  2826.963 |   1946.260 |  49.108728
  2833.017 |   1949.193 |  47.777642
  2839.070 |   1952.041 |  46.295616
  2845.124 |   1954.795 |  44.662649
  2851.177 |   1957.445 |  42.878741
  2857.230 |   1959.983 |  40.943893
  2863.284 |   1962.399 |  38.858104
  2869.337 |   1964.685 |  36.621374
  2875.391 |   1966.830 |  34.233704
  2881.444 |   1968.826 |  31.695093
  2887.498 |   1970.664 |  29.005542
  2893.551 |   1972.335 |  26.165050
  2899.605 |   1973.829 |  23.173617
  2905.658 |   1975.138 |  20.033257
  2911.712 |   1976.256 |  16.934959
  2917.765 |   1977.191 |  14.004137
  2923.818 |   1977.955 |  11.240791
  2929.872 |   1978.556 |   8.644920
  2935.925 |   1979.005 |   6.216524
  2941.979 |   1979.312 |   3.955604
  2948.032 |   1979.487 |   1.862160
  2954.086 |   1979.540 |  -0.063809
  2960.139 |   1979.482 |  -1.822302
  2966.193 |   1979.323 |  -3.413320
  2972.246 |   1979.073 |  -4.836862
  2978.300 |   1978.741 |  -6.092929
  2984.353 |   1978.338 |  -7.181520
  2990.406 |   1977.875 |  -8.102635
  2996.460 |   1977.361 |  -8.856275
  3002.513 |   1976.806 |  -9.442440
  3008.567 |   1976.221 |  -9.861129
  3014.620 |   1975.616 | -10.112342
  3020.674 |   1975.000 | -10.196080
